commune_code,commune_nom,category,search_term,name,address,lat,lon
MA-01-051-1107,Bni Abdellah,gare,gare,محطة ولاد زيان,Casablanca 20320,34.5734375,-3.5863125
MA-01-051-1107,Bni Abdellah,gare,gare,Casa Port,,33.5994804,-7.6128264
MA-01-051-1107,Bni Abdellah,gare,gare,Ctre Commune Beni Abdellah,,35.0573348,-4.0733783
MA-01-051-1107,Bni Abdellah,gare,gare,Casa Voyageurs,,33.5896911,-7.5909106
MA-01-051-1107,Bni Abdellah,gare,gare,Gare BERRECHID,,33.2603876,-7.5921341
MA-01-051-1107,Bni Abdellah,gare,gare,CTM,,33.5960914,-7.6110031
MA-01-051-1107,Bni Abdellah,gare,gare,Gare de Mohammédia,,33.6956345,-7.3877604
MA-01-051-1107,Bni Abdellah,gare,gare ferroviaire,Aïn Sebaâ,,33.6084997,-7.5241744
MA-01-051-1107,Bni Abdellah,gare,gare ferroviaire,Casa Port,,33.5994804,-7.6128264
MA-01-051-1107,Bni Abdellah,gare,gare ferroviaire,Casa Voyageurs,,33.5896911,-7.5909106
MA-01-051-1107,Bni Abdellah,gare,gare ferroviaire,Gare ONCF Aït Nsar - Beni Ansar,,35.2436934,-2.9323022
MA-01-051-1107,Bni Abdellah,gare,gare ferroviaire,Gare BERRECHID,,33.2603876,-7.5921341
MA-01-051-1107,Bni Abdellah,gare,gare ferroviaire,ancien gare,,34.0182106,-2.0226892
MA-01-051-1107,Bni Abdellah,gare,gare ferroviaire,Gare de Mohammédia,,33.6956345,-7.3877604
MA-01-051-1107,Bni Abdellah,gare_oncf,gare ONCF,Aïn Sebaâ,,33.6084997,-7.5241744
MA-01-051-1107,Bni Abdellah,gare_oncf,gare ONCF,Casa Port,,33.5994804,-7.6128264
MA-01-051-1107,Bni Abdellah,gare_oncf,gare ONCF,Casa Voyageurs,,33.5896911,-7.5909106
MA-01-051-1107,Bni Abdellah,gare_oncf,gare ONCF,Gare BERRECHID,,33.2603876,-7.5921341
MA-01-051-1107,Bni Abdellah,gare_oncf,gare ONCF,L'Oasis,,33.5547995,-7.6315469
MA-01-051-1107,Bni Abdellah,gare_oncf,gare ONCF,Gare de Mohammédia,,33.6956345,-7.3877604
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Abdellah Ben Cherif,,33.56589,-7.6602156
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Station Tramway Sidi Mohammed Ben Abdellah,,34.0160752,-6.8546667
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,"Station Tramway, Derb Sultan.",,33.5720907,-7.5958624
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,"Station Tramway Anoual, Casablanca",,33.5694716,-7.6250691
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Station tramway Abdelmoumen,,33.5710237,-7.6259551
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Station Sidi Moumen Terminus,,33.5872092,-7.5009224
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Station Tramway Riviera,,33.5709513,-7.6362222
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Station Tramway Oasis,,33.5549432,-7.6309509
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Terminus Tramway Ain Diab,,33.5874824,-7.6808435
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Hay Andia,,33.5613629,-7.6528062
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Ghandi,,33.56855,-7.64492
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Salmia 2 Terminus,,33.53715,-7.55083
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Agence Casa Voyageurs Tram,,33.5899856,-7.5907827
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Station Tramway Bab Chellah,,34.0237762,-6.8337079
MA-01-051-1107,Bni Abdellah,station_tram,station tramway,Casa Port,,33.5994804,-7.6128264
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Abdellah Ben Cherif,,33.56589,-7.6602156
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Station Tramway Sidi Mohammed Ben Abdellah,,34.0160752,-6.8546667
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Station Sidi Moumen Terminus,,33.5872092,-7.5009224
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Abdelkader Essahraoui,,33.555759,-7.547525
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Station Tramway Riviera,,33.5709513,-7.6362222
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Station tramway Abdelmoumen,,33.5710237,-7.6259551
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Hay Andia,,33.5613629,-7.6528062
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Station Tramway Marché central,,33.5946426,-7.6124382
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Station Tramway Oasis,,33.5549432,-7.6309509
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,"Station Tramway Anoual, Casablanca",,33.5694716,-7.6250691
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Bni Yakhlef 2,,33.661143,-7.342501
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Terminus Tramway Hopital Moulay Abdellah,,34.0251416,-6.7536752
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Salmia 2 Terminus,,33.53715,-7.55083
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,Ghandi,,33.56855,-7.64492
MA-01-051-1107,Bni Abdellah,station_tram,arrêt tramway,A-Sidi Mohammed Ben Abdellah,,34.0161743,-6.8547359
MA-01-051-1107,Bni Abdellah,port,port,Port de Nador Béni Ensar,,35.271087,-2.918179
MA-01-051-1107,Bni Abdellah,port,port,Port Beni Ensar Abu-Noah,,35.2708875,-2.9265264
